,case:id,case:concept:name,Operation,concept:name,time:timestamp,Question,Report,Year,Category,Type
139,A25 P6 BPI 2020,A25 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 09:54:39.260528,P6,A25,2020,Student,Analyze Cycle Time
140,A26 P6 BPI 2020,A26 P6 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-11-23 10:54:39.260528,P6,A26,2020,Professional,Analyze Cycle Time
141,A26 P6 BPI 2020,A26 P6 BPI 2020,Represent process map,Get process map from the previous question,2021-11-23 11:54:39.260528,P6,A26,2020,Professional,Representation
142,A26 P6 BPI 2020,A26 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-11-23 12:54:39.260528,P6,A26,2020,Professional,Analyze Cycle Time
143,A28 P6 BPI 2020,A28 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-11-23 13:54:39.260528,P6,A28,2020,Professional,Analyze Cycle Time
144,A35 P6 BPI 2020,A35 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-11-23 14:54:39.260528,P6,A35,2020,Professional,Representation
145,A35 P6 BPI 2020,A35 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-11-23 15:54:39.260528,P6,A35,2020,Professional,Analyze Cycle Time
146,A37 P6 BPI 2020,A37 P6 BPI 2020,Filter traces,Filter traces by activities,2021-11-23 16:54:39.260528,P6,A37,2020,Professional,Manipulation
147,A37 P6 BPI 2020,A37 P6 BPI 2020,Preprocess the traces of the logs,Preprocess the traces of the logs,2021-11-23 17:54:39.260528,P6,A37,2020,Professional,Manipulation
148,A37 P6 BPI 2020,A37 P6 BPI 2020,Calculate number of elements,Calculate number of variants,2021-11-23 18:54:39.260528,P6,A37,2020,Professional,Calculate statistics
149,A37 P6 BPI 2020,A37 P6 BPI 2020,Calculate number of elements,Calculate number of different organizational units,2021-11-23 19:54:39.260528,P6,A37,2020,Professional,Calculate statistics
150,A37 P6 BPI 2020,A37 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-11-23 20:54:39.260528,P6,A37,2020,Professional,Analyze Cycle Time
151,A37 P6 BPI 2020,A37 P6 BPI 2020,Compare cycle time,Compare cycle time,2021-11-23 21:54:39.260528,P6,A37,2020,Professional,Analyze Cycle Time
152,A2 P5 BPI 2015,A2 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-11-23 22:54:39.260528,P5,A2,2015,Student,Analyze Cycle Time
153,A2 P5 BPI 2015,A2 P5 BPI 2015,Filter events,Filter events by cycle time,2021-11-23 23:54:39.260528,P5,A2,2015,Student,Manipulation
154,A2 P5 BPI 2015,A2 P5 BPI 2015,Represent histograms,Represent histograms of cycle time,2021-11-24 00:54:39.260528,P5,A2,2015,Student,Representation
