,case:concept:name,General activity,Specific activity,Time,Question,Year
173,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-07-07 17:27:39.424040,P5,2015
174,A8 P5 BPI 2015,Compare cycle time, ,2021-07-07 17:27:39.446341,P5,2015
175,A8 P5 BPI 2015,Group traces,Group traces depending on attributes,2021-07-07 17:27:39.463777,P5,2015
176,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-07-07 17:27:39.488963,P5,2015
177,A8 P5 BPI 2015,Group traces,Grouping traces by cycle time,2021-07-07 17:27:39.513029,P5,2015
178,A8 P5 BPI 2015,Group traces,Grouping by organizational units,2021-07-07 17:27:39.535912,P5,2015
179,A8 P5 BPI 2015,Compare cycle time, ,2021-07-07 17:27:39.565300,P5,2015
180,A8 P5 BPI 2015,Analyze cycle time depending on the events, ,2021-07-07 17:27:39.575923,P5,2015
181,A8 P5 BPI 2015,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:39.600480,P5,2015
182,A8 P5 BPI 2015,Compare cycle time, ,2021-07-07 17:27:39.620346,P5,2015
183,A8 P5 BPI 2015,Filter activities,Filter activities by frequency,2021-07-07 17:27:39.636809,P5,2015
184,A8 P5 BPI 2015,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.657392,P5,2015
185,A8 P5 BPI 2015,Calculate frequency,Calculate frequency of activities,2021-07-07 17:27:39.673785,P5,2015
186,A8 P5 BPI 2015,Calculate cycle time,Calculate cycle time of only a subset of pairs of events for each subset of traces,2021-07-07 17:27:39.693676,P5,2015
187,A8 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.718055,P5,2015
188,A8 P5 BPI 2015,Identify resources,Identify resource associated with bottlenecks,2021-07-07 17:27:39.738850,P5,2015
189,A9 P5 BPI 2015,Filter traces,Filter traces by activities,2021-07-07 17:27:39.755495,P5,2015
190,A9 P5 BPI 2015,Calculate cycle time,Calculate cycle time for all pairs of events for a subset of traces,2021-07-07 17:27:39.770247,P5,2015
191,A9 P5 BPI 2015,Group traces,Grouping traces by cycle time,2021-07-07 17:27:39.786141,P5,2015
192,A9 P5 BPI 2015,Aplicar árboles de decisión, ,2021-07-07 17:27:39.805989,P5,2015
193,A9 P5 BPI 2015,Group organizational units, ,2021-07-07 17:27:39.826061,P5,2015
194,A9 P5 BPI 2015,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:39.845000,P5,2015
195,A9 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-07-07 17:27:39.865916,P5,2015
196,A9 P5 BPI 2015,Compare cycle time, ,2021-07-07 17:27:39.890936,P5,2015
197,A9 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-07-07 17:27:39.921477,P5,2015
198,A1 P1 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:39.944011,P1,2020
199,A1 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:39.967810,P1,2020
200,A1 P1 BPI 2020,Calculate throughput, ,2021-07-07 17:27:39.993754,P1,2020
201,A1 P1 BPI 2020,Filter traces,Filter traces by attributes,2021-07-07 17:27:40.020849,P1,2020
202,A1 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-07-07 17:27:40.034883,P1,2020
203,A2 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-07-07 17:27:40.056271,P1,2020
204,A7 P1 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:40.083493,P1,2020
205,A7 P1 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-07-07 17:27:40.100833,P1,2020
206,A7 P1 BPI 2020,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:40.117085,P1,2020
207,A7 P1 BPI 2020,Calculate throughput, ,2021-07-07 17:27:40.135165,P1,2020
208,A7 P1 BPI 2020,Calculate statistics,Calculate Statistics of throughput,2021-07-07 17:27:40.159283,P1,2020
209,A7 P1 BPI 2020,Calculate statistics,Calculate Statistics of throughput,2021-07-07 17:27:40.175908,P1,2020
210,A7 P1 BPI 2020,Calculate throughput, ,2021-07-07 17:27:40.198834,P1,2020
211,A7 P1 BPI 2020,Calculate statistics,Calculate Statistics of throughput,2021-07-07 17:27:40.215878,P1,2020
212,A10 P1 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for all traces,2021-07-07 17:27:40.234840,P1,2020
213,A10 P1 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:40.258670,P1,2020
214,A10 P1 BPI 2020,Represent boxplots of cycle time, ,2021-07-07 17:27:40.276528,P1,2020
215,A10 P1 BPI 2020,Represent density of cycle time, ,2021-07-07 17:27:40.298855,P1,2020
216,A12 P1 BPI 2020,Calculate processing time, ,2021-07-07 17:27:40.313754,P1,2020
217,A12 P1 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:40.333850,P1,2020
218,A12 P1 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:40.353696,P1,2020
219,A13 P1 BPI 2020,Represent bar charts,Represent bar charts of traces,2021-07-07 17:27:40.377131,P1,2020
220,A13 P1 BPI 2020,Calculate throughput, ,2021-07-07 17:27:40.391290,P1,2020
221,A13 P1 BPI 2020,Represent bar charts,Represent bar charts of traces,2021-07-07 17:27:40.416748,P1,2020
222,A13 P1 BPI 2020,Group traces,Group traces by year,2021-07-07 17:27:40.425053,P1,2020
223,A13 P1 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:40.445400,P1,2020
224,A13 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-07-07 17:27:40.465974,P1,2020
225,A13 P1 BPI 2020,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:40.485940,P1,2020
226,A13 P1 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-07-07 17:27:40.505965,P1,2020
227,A18 P1 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:40.525964,P1,2020
228,A18 P1 BPI 2020,Calculate number of elements,Calculate number of traces,2021-07-07 17:27:40.545947,P1,2020
229,A18 P1 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for a subset of traces,2021-07-07 17:27:40.563590,P1,2020
230,A18 P1 BPI 2020,Represent boxplots of cycle time, ,2021-07-07 17:27:40.586689,P1,2020
231,A25 P1 BPI 2020,Filter traces,Filter traces by attributes,2021-07-07 17:27:40.607497,P1,2020
232,A25 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-07-07 17:27:40.618066,P1,2020
233,A25 P1 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:40.648926,P1,2020
234,A25 P1 BPI 2020,Compare cycle time, ,2021-07-07 17:27:40.658001,P1,2020
235,A25 P1 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for all traces,2021-07-07 17:27:40.678830,P1,2020
236,A25 P1 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-07-07 17:27:40.703812,P1,2020
237,A26 P1 BPI 2020,Represent process map,Represent process map with cycle time,2021-07-07 17:27:40.723921,P1,2020
238,A26 P1 BPI 2020,Filter traces,Filter traces by activities,2021-07-07 17:27:40.738347,P1,2020
