,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category,Type
120,A7 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.695509,A7,P6,2020,Academic,Analyze Cycle Time
121,A7 P6 BPI 2020,Filter activities,Filter activities by cycle time,2021-10-19 12:47:14.695509,A7,P6,2020,Academic,Manipulation
122,A7 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.711127,A7,P6,2020,Academic,Analyze Cycle Time
123,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.711127,A10,P6,2020,Academic,Manipulation
124,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.711127,A10,P6,2020,Academic,Calculate statistics
125,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:14.726714,A10,P6,2020,Academic,Analyze Cycle Time
126,A10 P6 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.737759,A10,P6,2020,Academic,Manipulation
127,A10 P6 BPI 2020,Calculate number of elements,Calculate number of activities,2021-10-19 12:47:14.737759,A10,P6,2020,Academic,Calculate statistics
128,A10 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for each subset of traces,2021-10-19 12:47:14.737759,A10,P6,2020,Academic,Analyze Cycle Time
129,A12 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.760167,A12,P6,2020,Professional,Analyze Cycle Time
130,A12 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.769177,A12,P6,2020,Professional,Analyze Cycle Time
131,A13 P6 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.780146,A13,P6,2020,Professional,Manipulation
132,A13 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.789122,A13,P6,2020,Professional,Representation
133,A13 P6 BPI 2020,Calculate cycle time,Calculate cycle time of a fragment of the process for each subset of traces,2021-10-19 12:47:14.792081,A13,P6,2020,Professional,Analyze Cycle Time
134,A13 P6 BPI 2020,Calculate frequency,Calculate frequency of variants,2021-10-19 12:47:14.798097,A13,P6,2020,Professional,Calculate statistics
135,A13 P6 BPI 2020,Calculate intervals of time of the traces, ,2021-10-19 12:47:14.804080,A13,P6,2020,Professional,Analyze Cycle Time
136,A13 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.810062,A13,P6,2020,Professional,Analyze Cycle Time
137,A25 P6 BPI 2020,Represent histograms,Represent histograms of cycle time,2021-10-19 12:47:14.815204,A25,P6,2020,Student,Representation
138,A25 P6 BPI 2020,Calculate cycle time,Calculate cycle time for all pairs of events for all traces,2021-10-19 12:47:14.815204,A25,P6,2020,Student,Analyze Cycle Time
139,A25 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.815204,A25,P6,2020,Student,Analyze Cycle Time
140,A26 P6 BPI 2020,Calculate cycle time,Get cycle time from the previous question,2021-10-19 12:47:14.837840,A26,P6,2020,Professional,Analyze Cycle Time
141,A26 P6 BPI 2020,Represent process map,Get process map from the previous question,2021-10-19 12:47:14.850347,A26,P6,2020,Professional,Representation
142,A26 P6 BPI 2020,Identify bottlenecks,Identify activities as bottlenecks applying temporal performance criteria,2021-10-19 12:47:14.855324,A26,P6,2020,Professional,Analyze Cycle Time
143,A28 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.866302,A28,P6,2020,Professional,Analyze Cycle Time
144,A35 P6 BPI 2020,Represent process map,Represent process map with cycle time,2021-10-19 12:47:14.876276,A35,P6,2020,Professional,Representation
145,A35 P6 BPI 2020,Identify bottlenecks,Identify sub-processes with incorrect orders with respect to the happy path as bottlenecks,2021-10-19 12:47:14.882259,A35,P6,2020,Professional,Analyze Cycle Time
146,A37 P6 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:14.883241,A37,P6,2020,Professional,Manipulation
147,A37 P6 BPI 2020,Preprocess the traces of the logs, ,2021-10-19 12:47:14.883241,A37,P6,2020,Professional,Manipulation
148,A37 P6 BPI 2020,Calculate number of elements,Calculate number of variants,2021-10-19 12:47:14.898901,A37,P6,2020,Professional,Calculate statistics
149,A37 P6 BPI 2020,Calculate number of elements,Calculate number of different organizational units,2021-10-19 12:47:14.898901,A37,P6,2020,Professional,Calculate statistics
