,case:concept:name,concept:name,Specific operation,time:timestamp,Report,Question,Year,Category
189,A9 P5 BPI 2015,Filter traces,Filter traces by activities,2021-10-19 12:47:15.190987,A9,P5,2015,Student
190,A9 P5 BPI 2015,Calculate cycle time,Calculate cycle time for all pairs of events for a subset of traces,2021-10-19 12:47:15.196971,A9,P5,2015,Student
191,A9 P5 BPI 2015,Group traces,Group traces by cycle time,2021-10-19 12:47:15.203952,A9,P5,2015,Student
192,A9 P5 BPI 2015,Apply decision trees, ,2021-10-19 12:47:15.210975,A9,P5,2015,Student
193,A9 P5 BPI 2015,Group organizational units, ,2021-10-19 12:47:15.217957,A9,P5,2015,Student
194,A9 P5 BPI 2015,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:15.223918,A9,P5,2015,Student
195,A9 P5 BPI 2015,Calculate cycle time,Calculate cycle time of the whole process for each subset of traces,2021-10-19 12:47:15.228913,A9,P5,2015,Student
196,A9 P5 BPI 2015,Compare cycle time, ,2021-10-19 12:47:15.236897,A9,P5,2015,Student
197,A9 P5 BPI 2015,Identify bottlenecks,Identify organizational units as bottlenecks applying temporal performance criteria,2021-10-19 12:47:15.243875,A9,P5,2015,Student
198,A1 P1 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:15.249876,A1,P1,2020,Academic
199,A1 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:15.249876,A1,P1,2020,Academic
200,A1 P1 BPI 2020,Calculate throughput, ,2021-10-19 12:47:15.265539,A1,P1,2020,Academic
201,A1 P1 BPI 2020,Filter traces,Filter traces by attributes,2021-10-19 12:47:15.265539,A1,P1,2020,Academic
202,A1 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for a subset of traces,2021-10-19 12:47:15.265539,A1,P1,2020,Academic
203,A2 P1 BPI 2020,Calculate cycle time,Calculate cycle time of the whole process for all traces,2021-10-19 12:47:15.281168,A2,P1,2020,Student
204,A7 P1 BPI 2020,Filter traces,Filter traces by activities,2021-10-19 12:47:15.301914,A7,P1,2020,Academic
205,A7 P1 BPI 2020,Calculate percentages,Calculate percentage of traces,2021-10-19 12:47:15.308894,A7,P1,2020,Academic
206,A7 P1 BPI 2020,Calculate number of elements,Calculate number of traces,2021-10-19 12:47:15.315876,A7,P1,2020,Academic
207,A7 P1 BPI 2020,Calculate throughput, ,2021-10-19 12:47:15.323854,A7,P1,2020,Academic
208,A7 P1 BPI 2020,Calculate statistics,Calculate Statistics of throughput,2021-10-19 12:47:15.328841,A7,P1,2020,Academic
209,A7 P1 BPI 2020,Calculate statistics,Calculate Statistics of throughput,2021-10-19 12:47:15.336821,A7,P1,2020,Academic
210,A7 P1 BPI 2020,Calculate throughput, ,2021-10-19 12:47:15.345822,A7,P1,2020,Academic
211,A7 P1 BPI 2020,Calculate statistics,Calculate Statistics of throughput,2021-10-19 12:47:15.352778,A7,P1,2020,Academic
